idx,folio-idx,date-at-location,idx-location,location,Address,Latitude,Longitude,note,status
1,2v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
2,3r,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
3,7r,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
4,10r,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
5,16r,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
6,16v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
7,18v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
8,20v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
9,21v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
10,22v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
11,23v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
12,24v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
13,25v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
14,26v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
15,27v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
16,28v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
17,29v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
18,30v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
19,31v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
20,32v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
21,33v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
22,34v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
23,35r,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
24,36v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
25,37v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
26,38v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
27,39v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
28,40v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
29,41v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
30,42v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
31,43v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
32,44v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
33,45v,1524,1,Tabriz,Tabriz,38.0792,46.2887,creation,complete
